is_name,cve_count_structured,cve_count,cve_enrichment_gain_count,cves_structured,cves
Indrik Spider,0,0,0,,
LuminousMoth,0,0,0,,
Medusa Group,0,0,0,,
Wizard Spider,0,0,0,,
Elderwood,0,0,0,,
FIN7,0,0,0,,
UNC3886,0,0,0,,
Velvet Ant,0,0,0,,
WIRTE,0,0,0,,
Dragonfly,0,0,0,,
OilRig,0,0,0,,
Equation,0,0,0,,
Fox Kitten,0,0,0,,
Lazarus Group,0,0,0,,
Aquatic Panda,0,0,0,,
Daggerfly,0,0,0,,
TeamTNT,0,0,0,,
TA505,0,0,0,,
Inception,0,0,0,,
admin@338,0,0,0,,
BlackTech,0,0,0,,
APT42,0,0,0,,
Malteiro,0,0,0,,
Earth Lusca,0,0,0,,
Play,0,0,0,,
Sandworm Team,0,0,0,,
TA577,0,0,0,,
Turla,0,0,0,,
Suckfly,0,0,0,,
Ember Bear,1,1,0,CVE-2021-32648,CVE-2021-32648
FIN6,0,0,0,,
Silence,0,0,0,,
Patchwork,0,1,1,,CVE-2014-6352
APT28,0,0,0,,
Aoqin Dragon,0,0,0,,
Cinnamon Tempest,0,0,0,,
HEXANE,0,0,0,,
Darkhotel,0,0,0,,
Ke3chang,0,0,0,,
Volt Typhoon,0,0,0,,
Leafminer,0,0,0,,
Magic Hound,0,0,0,,
APT29,0,0,0,,
EXOTIC LILY,0,0,0,,
Cobalt Group,1,1,0,CVE-2017-0199,CVE-2017-0199
Andariel,0,0,0,,
HAFNIUM,0,0,0,,
APT39,0,0,0,,
MuddyWater,0,0,0,,
APT38,0,0,0,,
Transparent Tribe,0,0,0,,
APT32,0,0,0,,
BRONZE BUTLER,0,0,0,,
POLONIUM,0,0,0,,
APT5,0,0,0,,
BackdoorDiplomacy,0,0,0,,
Kimsuky,0,0,0,,
Leviathan,0,0,0,,
Storm-1811,0,0,0,,
Ajax Security Team,0,0,0,,
Akira,0,0,0,,
Mustang Panda,0,0,0,,
LAPSUS$,0,0,0,,
Chimera,0,0,0,,
TA2541,0,0,0,,
ToddyCat,0,0,0,,
BITTER,0,0,0,,
RTM,0,0,0,,
menuPass,0,0,0,,
Storm-0501,0,0,0,,
Tropic Trooper,0,0,0,,
Mustard Tempest,0,0,0,,
APT19,0,0,0,,
Moses Staff,0,0,0,,
Molerats,0,0,0,,
Stealth Falcon,0,0,0,,
DarkVishnya,0,0,0,,
APT37,0,0,0,,
Threat Group-1314,0,0,0,,
APT41,0,0,0,,
INC Ransom,0,0,0,,
FIN13,0,0,0,,
Group5,0,0,0,,
PLATINUM,0,0,0,,
GALLIUM,0,0,0,,
FIN10,0,0,0,,
Winnti Group,0,0,0,,
FIN8,0,0,0,,
Rocke,0,0,0,,
RedEcho,0,0,0,,
Saint Bear,0,0,0,,
Scattered Spider,0,0,0,,
CURIUM,0,0,0,,
Windigo,0,0,0,,
Blue Mockingbird,0,0,0,,
RedCurl,0,0,0,,
FIN4,0,0,0,,
Contagious Interview,0,0,0,,
Gorgon Group,0,0,0,,
Sidewinder,0,0,0,,
Higaisa,0,0,0,,
APT30,0,0,0,,
Windshift,0,0,0,,
Confucius,0,0,0,,
BlackByte,0,0,0,,
Threat Group-3390,0,0,0,,
Tonto Team,0,0,0,,
Gamaredon Group,0,0,0,,
Agrius,0,0,0,,
Sea Turtle,0,0,0,,
Rancor,0,0,0,,
Moonstone Sleet,0,0,0,,
TA551,0,0,0,,
Salt Typhoon,0,0,0,,
Axiom,0,0,0,,
Dark Caracal,0,0,0,,
Nomadic Octopus,0,0,0,,
APT12,0,0,0,,
APT3,0,0,0,,
Putter Panda,0,0,0,,
Metador,0,0,0,,
TA459,0,0,0,,
ZIRCONIUM,0,0,0,,
APT1,0,0,0,,
Naikon,0,0,0,,
Sowbug,0,0,0,,
Mofang,0,0,0,,
Machete,0,0,0,,
FIN5,0,0,0,,
Winter Vivern,0,0,0,,
SideCopy,0,0,0,,
APT33,0,1,1,,CVE-2014-6352
Lotus Blossom,0,0,0,,
GOLD SOUTHFIELD,0,0,0,,
Volatile Cedar,0,0,0,,
Evilnum,0,0,0,,
Cleaver,0,0,0,,
TEMP.Veles,0,0,0,,
DarkHydrus,0,0,0,,
Whitefly,0,0,0,,
Silent Librarian,0,0,0,,
APT18,0,0,0,,
Carbanak,0,0,0,,
Orangeworm,0,0,0,,
Deep Panda,0,0,0,,
APT-C-36,0,0,0,,
The White Company,0,0,0,,
Poseidon Group,0,0,0,,
LazyScripter,0,0,0,,
Gallmaker,0,0,0,,
MoustachedBouncer,0,0,0,,
CopyKittens,0,0,0,,
Star Blizzard,0,0,0,,
Thrip,0,0,0,,
PROMETHIUM,0,0,0,,
GCMAN,0,0,0,,
Ferocious Kitten,0,0,0,,
PittyTiger,0,0,0,,
APT17,0,0,0,,
Water Galura,0,0,0,,
BlackOasis,0,0,0,,
IndigoZebra,0,0,0,,
SilverTerrier,0,0,0,,
Strider,0,0,0,,
AppleJeus,0,0,0,,
Scarlet Mimic,0,0,0,,
TA578,0,0,0,,
APT16,0,0,0,,
Moafee,0,0,0,,
NEODYMIUM,0,0,0,,
DragonOK,0,0,0,,
APT-C-23,0,0,0,,
