min_software_count,sample_size,confused_count,confusion_pct
1,158,2,1.3
2,132,0,0.0
3,105,0,0.0
4,90,0,0.0
5,76,0,0.0
6,68,0,0.0
7,55,0,0.0
8,51,0,0.0
9,41,0,0.0
10,33,0,0.0
11,32,0,0.0
12,28,0,0.0
13,26,0,0.0
14,23,0,0.0
15,22,0,0.0
16,19,0,0.0
17,16,0,0.0
18,12,0,0.0
19,11,0,0.0
20,11,0,0.0
21,11,0,0.0
22,10,0,0.0
23,10,0,0.0
24,9,0,0.0
25,8,0,0.0
26,7,0,0.0
27,6,0,0.0
28,5,0,0.0
29,4,0,0.0
30,4,0,0.0
31,2,0,0.0
32,2,0,0.0
33,1,0,0.0
34,1,0,0.0
35,1,0,0.0
36,1,0,0.0
37,1,0,0.0
38,1,0,0.0
39,1,0,0.0
40,1,0,0.0
41,1,0,0.0
42,1,0,0.0
43,1,0,0.0
44,1,0,0.0
45,1,0,0.0
46,1,0,0.0
47,1,0,0.0
48,1,0,0.0
49,1,0,0.0
